"source_nid","Additional","Street","City","Province"
"134587","Student Services, Rm 201","1430 E 2nd St","Tucson","Arizona"
"134589","WOW Center, UArizona College of Education","1430 E Second St, Rm 453","Tucson","Arizona"
"134590","College of Education, Worlds of Words Center","1430 E Second St, Rm 453","Tucson","Arizona"
"134592","","","",""
"134593","WOW Center, UArizona College of Education","1430 E Second St, Rm 453","Tucson","Arizona"
"134595","","","",""
"134596","Rm. 323A","Engineering Bldg","Tucson","Arizona"
"134597","Meinel 307","1630 E University Blvd ","Tucson","Arizona"
"134598","Meinel 307","1630 E University Blvd ","Tucson","Arizona"
"134599",""," 1601 E University Blvd.","Tucson","Arizona"
"134600","","1601 E University Blvd. ","Tucson","Arizona"
"134601","","","Tucson","Arizona"
"134607","44 North Stone Ave.","FORGE at Roy Place,","Tucson, AZ",""
"134613","","","",""
"134614","119 E. Toole Ave.","Borderlands Brewing Company,","Tucson, AZ",""
"134616","","","",""
"134617","1064 E. Lowell St.","ENR2 Building, Room 120,","Tucson, AZ",""
"134619","Campbell Ave. & 3rd St.","UA Mall,","Tucson, AZ",""
"134621","845 N. Park Ave.","Louise Foucar Marshall Building, Suite 280,","Tucson, AZ",""
"134622","845 N. Park Ave.","Louise Foucar Marshall Building, Suite 280,","Tucson, AZ",""
"134623","1064 E. Lowell St.","ENR2 Building,","Tucson, AZ",""
"134631","","","",""
"134632","1017 N. Olive Rd.","School of Music Building,","Tucson, AZ",""
"134634","1541 E. 2nd St.","Office of Strategic Initiatives,","Tucson, AZ",""
"134635","1017 N. Olive Rd.","School of Music, Room 232,","Tucson, AZ",""
"134637","1017 N. Olive Rd.","School of Music Building,","Tucson, AZ",""
"134638","1423 E. University Blvd.","University of Arizona Mall,","Tucson, AZ",""
"134639","","","",""
"134640","1103 E. Second St.","Richard P. Harvill Building, Room 460,","Tucson, AZ",""
"134642","1064 E Lowell Street","ENR2 Building Room 107","Tucson","Arizona"
"134646","1510 E. University Blvd.","Special Collections,","Tucson, AZ",""
"134648","1670 E. Drachman St.","Health Sciences Innovation Building,","Tucson, AZ",""
"134652","1020 E. University Blvd.","Centennial Hall,","Tucson, AZ",""
"134657","","","",""
"134660","","","",""
"134661","1601 E. University Blvd. ","Flandrau Planetarium,","Tucson, AZ",""
"134666","1508 E. Helen St.","UA Poetry Center,","Tucson, AZ",""
"134667","1508 E. Helen St.","UA Poetry Center,","Tucson, AZ",""
"134668","1508 E. Helen St.","University of Arizona Poetry Center,","Tucson, AZ",""
"134669","1508 E. Helen St.","UA Poetry Center,","Tucson, AZ",""
"134670","1508 E. Helen St.","UA Poetry Center,","Tucson, AZ",""
"134671","1508 E. Helen St.","University of Arizona Poetry Center,","Tucson, AZ",""
"134672","1508 E. Helen St. ","UA Poetry Center, Jeremy Ingalls Gallery,","Tucson, AZ",""
"134673","1508 E. Helen St.","University of Arizona Poetry Center,","Tucson, AZ",""
"134674","1508 E. Helen St. ","Poetry Center, Dorothy Rubel Room,","Tucson, AZ",""
"134675","1508 E. Helen St.","University of Arizona Poetry Center,","Tucson, AZ",""
"134676","1508 E. Helen St.","University of Arizona Poetry Center,","Tucson, AZ",""
"134677","1508 E. Helen St.","University of Arizona Poetry Center,","Tucson, AZ",""
"134678","1508 E. Helen St.","University of Arizona Poetry Center,","Tucson, AZ",""
"134679","1508 E. Helen St.","University of Arizona Poetry Center,","Tucson, AZ",""
"134680","1508 E. Helen St.","UA Poetry Center,","Tucson, AZ",""
"134685","1017 N. Olive Rd.","School of Music Building, Crowder Hall,","Tucson, AZ",""
"134686","1017 N. Olive Rd.","School of Music Building, Holsclaw Hall,","Tucson, AZ",""
"134687","1017 N. Olive Rd.","School of Music Building, Crowder Hall,","Tucson, AZ",""
"134688","1017 N. Olive Rd.","School of Music Building, Crowder Hall,","Tucson, AZ",""
"134691","1017 N. Olive Rd.","School of Music Building, Holsclaw Hall,","Tucson, AZ",""
"134707","1303 E. University Blvd.","University of Arizona Mall,","Tucson, AZ",""
"134721","1064 E. Lowell St.","ENR2 Building, Room 120,","Tucson, AZ",""
"134722","1110 James E. Rogers Way,","Cesar E. Chavez Building, Room 204A,","Tucson, AZ",""
"134724","845 N. Park Ave.","Marshall Building, Rooms 311-313,","Tucson, AZ",""
"134725","","","",""
"134732","","","",""
"134734","","","",""
"134738","600 E. Van Buren St.","Phoenix Bioscience Core, Virginia G. Piper Auditorium,","Phoenix, AZ",""
"134739","850 N. 5th St.","Phoenix Bioscience Core,","Phoenix, AZ",""
"134741","","","",""
"134742","Room 207","Communication","Tucson","Arizona"
"134743","1230 E. Speedway Blvd.","Electrical and Computer Engineering Building, Room 234,","Tucson, AZ",""
"134747","615 N. Park Ave.","The Global Center,","Tucson, AZ",""
"134750","1600 E. First St.","Graduate Center,","Tucson, AZ",""
"134751","","","Tucson","Arizona"
"134752","1017 N. Olive Rd.","UA School of Music,","Tucson, AZ",""
"134753","3233 E Speedway Blvd","The Loft Cinema","Tucson","Arizona"
"134754","Room 120","Manuel Pacheco Integrated Learning Center","Tucson","Arizona"
"134755","","1601 E University Blvd.","Tucson","Arizona"
"134757","","","",""
"134760","","1064 E Lowell St, Tucson, AZ 85719","Tucson","Arizona"
"134761","ILC 150","1500 E University Blvd","Tucson","Arizona"
"134762","Meinel 307","1630 E University Blvd","Tucson","Arizona"
"134763","","1601 E University Blvd.","Tucson","Arizona"
"134765","Historic Pima County Courthouse: Alfie Norville Gem and Mineral Museum","115 N Church Ave Suite 121","Tucson","Arizona"
"134766","Historic Pima County Courthouse: Alfie Norville Gem and Mineral Museum","115 N Church Ave Suite 121","Tucson","Arizona"
"134767","","1601 E University Blvd. ","Tucson","Arizona"
"134768","Historic Pima County Courthouse Alfie Norville Gem and Mineral Museum","115 N Church Ave Suite 121","Tucson","Arizona"
"134769","Rm. 103","TW Keating Bioresearch Bldg. ","Tucson","Arizona"
"134775","44 N. Stone Ave.","FORGE at Roy Place,","Tucson, AZ",""
"134778","650 N. Park Ave.","McClelland Park Plaza,","Tucson, AZ",""
"134784","1295 N. Martin Ave.","Roy P. Drachman Hall, Room A120,","Tucson, AZ",""
"134785","","","",""
"134786","","1303 E University Blvd","Tucson","Arizona"
"134787","Room 2101","Health Sciences Library","Tucson","Arizona"
"134791","","","",""
"134792","","","",""
"134793","","","",""
"134794","","","",""
"134795","","","",""
"134797","","565 N Cherry Ave Fl 5","Tucson","Arizona"
"134798","1030 N. Olive Rd.","Center for Creative Photography, Auditorium, ","Tucson, AZ",""
"134805","","","",""
"134807","","1428 E. University Blvd.","Tucson","Arizona"
"134808","","","",""
"134809","","","Tucson","Arizona"
"134811","","","Tucson","Arizona"
"134812","","1600 E 1st Street","Tucson","Arizona"
"134813","","311 E Congress St","Tucson","Arizona"
"134828","Main Library B250, CATalyst Studios","1510 E University Boulevard","Tucson","Arizona"
"134829","Room N595","ENR2 Building","Tucson","Arizona"
"134830","","","",""
"134831","","","",""
"134832","Health Sciences Innovation Building (HSIB)","1670 E. Drachman St.","Tucson","Arizona"
"134834","309","Gerard P. Kuiper Space Sciences","Tucson","Arizona"
"134837","","1031 N Olive Road","Tucson","Arizona"
"134839","","","",""
"134841","","","",""
"134843","","","",""
"134844","Museum of Art","1031 N Olive Road","Tucson","Arizona"
"134846","3233 E. Speedway Blvd.","The Loft Cinema","Tucson","Arizona"
"134847","1020 E. University Blvd.","Centennial Hall","Tucson","Arizona"
"134848","","University of Arizona Mall","Tucson","Arizona"
"134849","1508 E. Helen St.","University of Arizona Poetry Center","Tucson","Arizona"
"134850","1508 E. Helen St.","University of Arizona Poetry Center","Tucson","Arizona"
"134851","","1303 E. University Blvd","","Arizona"
"134858","","University of Arizona Mall","Tucson","Arizona"
"134874","933 N. Cherry Ave.","Steward Observatory, Room N210,","Tucson, AZ",""
"134875","1305 E. Fourth St.","Chemical Sciences Building, Room 202,","Tucson, AZ",""
"134878","","","",""
"134879","","","",""
"134880","","","",""
"134881","","","",""
"134882","","","",""
"134883","","","",""
"134886","1510 E. University Blvd.","Main Library, Rooms B252-B254,","Tucson, AZ",""
"134893","1064 E. Lowell St.","ENR2 Building, Room S215,","Tucson, AZ",""
"134895","1064 E. Lowell St.","ENR2 Building, Room S107,","Tucson, AZ",""
"134899","1601 E. University Blvd.","Flandrau Science Center and Planetarium,","Tucson, AZ",""
"134900","1629 E. University Blvd.","Gerard P. Kuiper Space Sciences, Room 301,","Tucson, AZ",""
"134902","1601 E. University Blvd.","Flandrau Science Center and Planetarium,","Tucson, AZ",""
"134903","1601 E. University Blvd.","Flandrau Science Center and Planetarium,","Tucson, AZ",""
"134904","44 N. Stone Ave.","FORGE at Roy Place,","Tucson, AZ",""
"134913","","","",""
"134914","1629 E. University Blvd.","Gerard P. Kuiper Space Sciences Building,","Tucson, AZ",""
"134916","","","",""
"134919","","","",""
"134927","1103 E. 2nd St.","Richard A. Harvill Building, Room 404,","Tucson, AZ",""
"134928","","","",""
"134929","","","",""
"134930","1025 N. Olive Rd.","Tornabene Theatre,","Tucson, AZ",""
"134931","1025 N. Olive Rd.","Tornabene Theatre,","Tucson, AZ",""
"134933","","","",""
"134934","845 N. Park Ave.","Marshall Building, Suite 280,","Tucson, AZ",""
"134937","","","",""
"134939","","615 N Park Ave","Tucson","Arizona"
"134940","1615 E. 2nd St.","St. Thomas More Catholic Newman Center,","Tucson, AZ",""
"134941","","1303 E University Blvd","Tucson","Arizona"
"134942","Room N210","933 N. Cherry Ave","Tucson","Arizona"
"134956","","Center for Creative Photography: 1030 N Olive Rd ","Tucson","Arizona"
"134957","","","",""
"134959","","","",""
"134960","","","",""
"134961","","","",""
"134962","","","",""
"134963","","","Tucson, AZ",""
"134964","","","",""
"134965","","","",""
"134966","","","",""
"134967","","","",""
"134970","","3233 E Speedway Blvd","Tucson","Arizona"
"134971","1306 E. University Blvd.","Chemistry Building, Room 311,","Tucson, AZ",""
"134972","","1657 E Helen Street","Tucson","Arizona"
"134975","","","",""
"134976","","","",""
"134977","","","",""
"134978","915 E 4th St, Tucson, AZ 85719","First United Methodist Church","Tucson","Arizona"
"134979","","","",""
"134982","","","",""
"134984","","","",""
"134985","1401 E. University Blvd.","Administration Building, Room 705,","Tucson, AZ",""
"134986","","Online","Tucson","Arizona"
"134989","","ENR2, Room S217","Tucson, AZ",""
"134990","","","",""
"134991","","","",""
"134992","845 N. Park Ave.","Marshall Building, Room 280","Tucson, AZ",""
"134993","1510 E. University Blvd.","Main Library, second floor","Tucson, AZ",""
